Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Average of next day price,close-open,open price of next day
ITC,EQ,8-Feb-23,373.25,374.75,377.3,371.55,374.55,375.55,375.12,10420462,3908964512,125965,5323532,51.09,375.49,0.25,374
ITC,EQ,9-Feb-23,375.55,374,380,372.15,374.8,374.25,375.49,11861196,4453808752,147407,6597115,55.62,372.27,-0.85,372.2
ITC,EQ,10-Feb-23,374.25,372.2,376.95,370.3,371.2,371.35,372.27,10278597,3826370637,101423,6698230,65.17,372.74,1.2,373
ITC,EQ,13-Feb-23,371.35,373,375.15,370,374.1,374.2,372.74,9901148,3690548356,110887,5978014,60.38,383.62,11.45,375
ITC,EQ,14-Feb-23,374.2,375,387.65,373.75,385.95,386.45,383.62,29125052,11172825494,240562,15147893,52.01,380.58,0.45,381.75
ITC,EQ,15-Feb-23,386.45,381.75,382.85,378.55,382.1,382.2,380.58,12209350,4646631940,132308,6229280,51.02,383.66,0.55,382
ITC,EQ,16-Feb-23,382.2,382,385.25,381,382,382.55,383.66,9775280,3750425750,119906,5841367,59.76,382.91,2.35,381.05
ITC,EQ,17-Feb-23,382.55,381.05,384.55,379.25,383.3,383.4,382.91,7672135,2937749083,93699,4114314,53.63,384.12,-0.65,384.7
ITC,EQ,20-Feb-23,383.4,384.7,387.5,381.3,383.9,384.05,384.12,7804976,2998018760,102345,3400621,43.57,384.08,-2.75,385
ITC,EQ,21-Feb-23,384.05,385,385.9,381.7,383,382.25,384.08,8259574,3172325587,88576,4951755,59.95,383.28,1.85,382
ITC,EQ,22-Feb-23,382.25,382,384.9,380,384.15,383.85,383.28,8961077,3434625178,99507,4805723,53.63,389.74,3.15,384.45
ITC,EQ,23-Feb-23,383.85,384.45,394,383.1,387.4,387.6,389.74,18830592,7339108177,218500,8823649,46.86,384.56,-3.9,389
ITC,EQ,24-Feb-23,387.6,389,389,381,385.25,385.1,384.56,12910220,4964754019,118753,7627154,59.08,381.68,-2.9,385.1
ITC,EQ,27-Feb-23,385.1,385.1,386.8,378.1,382.2,382.2,381.68,8142319,3107756123,122227,3928450,48.25,377.55,-5.8,382.5
ITC,EQ,28-Feb-23,382.2,382.5,384.25,375,376.5,376.7,377.55,16367477,6179566022,161521,10661355,65.14,378.58,4.45,374.25
ITC,EQ,1-Mar-23,376.7,374.25,380.4,373.6,378.6,378.7,378.58,7766667,2940311889,114616,4419391,56.9,376.22,-3.95,379.5
ITC,EQ,2-Mar-23,378.7,379.5,379.75,374.7,375.85,375.55,376.22,5019603,1888498850,98330,2568003,51.16,,,
